Company,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value
VOLTAS,61766.0,1867.0,1946.0,807.0,136.0,176.0,0.29,8.51,4.4,1.0
BLUESTARCO,43580.0,2120.0,2198.0,814.0,87.2,127.0,0.33,25.5,21.2,2.0
CROMPTON,27213.0,423.0,484.0,261.0,58.2,46.6,0.71,15.8,15.6,2.0
ORIENTELEC,5104.0,239.0,297.0,189.0,92.5,30.0,0.63,14.2,10.3,1.0
HAVELLS,127346.0,2031.0,2106.0,1233.0,91.5,119.0,0.44,24.4,18.0,1.0
SYMPHONY,11150.0,1617.0,1749.0,820.0,52.6,109.0,0.8,18.8,18.0,2.0
WHIRLPOOL,27930.0,2201.0,2281.0,1186.0,111.0,254.0,0.23,8.34,5.69,10.0
