Company,Reserves,Borrowings,Total Liabilities,Fixed Assets,Investments,Total Assets
VOLTAS,5787.0,744.0,11994.0,548.0,3508.0,11994.0
BLUESTARCO,2569.0,243.0,6611.0,1165.0,267.0,6611.0
CROMPTON,2871.0,683.0,6082.0,3197.0,689.0,6082.0
ORIENTELEC,618.0,112.0,1451.0,236.0,37.0,1451.0
HAVELLS,7384.0,303.0,12433.0,3988.0,20.0,12433.0
SYMPHONY,735.0,170.0,1210.0,327.0,373.0,1210.0
WHIRLPOOL,3098.0,223.0,5358.0,942.0,597.0,5358.0
